innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_England_win,p_India_win,p_draw
1.0,1.0,20.0,124.0,India,43.0,1.0,43.0,0.38545722,0.3824412,0.23210159
1.0,1.0,20.0,125.0,India,45.0,1.0,45.0,0.38504574,0.38203296,0.23292126
1.0,1.0,20.0,126.0,India,45.0,1.0,45.0,0.38504574,0.38203296,0.23292126
1.0,1.0,20.0,127.0,India,47.0,1.0,47.0,0.37201992,0.3901251,0.23785496
1.0,1.0,21.0,128.0,India,47.0,1.0,47.0,0.36233482,0.37815982,0.25950536
1.0,1.0,21.0,129.0,India,48.0,1.0,48.0,0.37552315,0.38793913,0.23653774
1.0,1.0,21.0,130.0,India,48.0,1.0,48.0,0.37552315,0.38793913,0.23653774
1.0,1.0,21.0,131.0,India,48.0,2.0,48.0,0.3941666,0.42442828,0.18140508
1.0,1.0,21.0,132.0,India,49.0,2.0,49.0,0.37466487,0.41840413,0.20693098
1.0,1.0,21.0,133.0,India,49.0,2.0,49.0,0.37466487,0.41840413,0.20693098
1.0,1.0,22.0,134.0,India,53.0,2.0,53.0,0.384254,0.43824604,0.17749994
1.0,1.0,22.0,135.0,India,53.0,2.0,53.0,0.384254,0.43824604,0.17749994
1.0,1.0,22.0,136.0,India,57.0,2.0,57.0,0.37860513,0.40410113,0.2172937
1.0,1.0,22.0,137.0,India,57.0,2.0,57.0,0.373503,0.40741912,0.21907783
1.0,1.0,22.0,138.0,India,58.0,2.0,58.0,0.36091328,0.39309403,0.24599268
1.0,1.0,22.0,139.0,India,58.0,2.0,58.0,0.36091328,0.39309403,0.24599268
1.0,1.0,23.0,140.0,India,58.0,2.0,58.0,0.37314722,0.40549806,0.22135477
1.0,1.0,23.0,141.0,India,58.0,2.0,58.0,0.38236386,0.41551375,0.20212242
1.0,1.0,23.0,142.0,India,60.0,2.0,60.0,0.37314722,0.40549806,0.22135477
1.0,1.0,23.0,143.0,India,64.0,2.0,64.0,0.37146053,0.38749766,0.24104178
1.0,1.0,23.0,144.0,India,64.0,2.0,64.0,0.37146053,0.38749766,0.24104178
1.0,1.0,23.0,145.0,India,67.0,2.0,67.0,0.3834111,0.36356315,0.2530257
1.0,1.0,24.0,146.0,India,67.0,2.0,67.0,0.3752759,0.37912852,0.24559562
1.0,1.0,24.0,147.0,India,67.0,2.0,67.0,0.3752759,0.37912852,0.24559562
1.0,1.0,24.0,148.0,India,71.0,2.0,71.0,0.36666557,0.37042978,0.2629046
1.0,1.0,24.0,149.0,India,71.0,2.0,71.0,0.36666557,0.37042978,0.2629046
1.0,1.0,24.0,150.0,India,71.0,2.0,71.0,0.36666557,0.37042978,0.2629046
1.0,1.0,24.0,151.0,India,71.0,2.0,71.0,0.36666557,0.37042978,0.2629046
1.0,1.0,25.0,152.0,India,71.0,2.0,71.0,0.37435427,0.3549752,0.2706705
1.0,1.0,25.0,153.0,India,71.0,2.0,71.0,0.3834111,0.36356315,0.2530257
1.0,1.0,25.0,154.0,India,71.0,2.0,71.0,0.3834111,0.36356315,0.2530257
1.0,1.0,25.0,155.0,India,71.0,2.0,71.0,0.3834111,0.36356315,0.2530257
1.0,1.0,25.0,156.0,India,71.0,2.0,71.0,0.3834111,0.36356315,0.2530257
1.0,1.0,25.0,157.0,India,71.0,2.0,71.0,0.3809079,0.36771834,0.25137377
1.0,1.0,26.0,158.0,India,71.0,2.0,71.0,0.26389965,0.5046059,0.23149444
1.0,1.0,26.0,159.0,India,72.0,2.0,72.0,0.25536373,0.5085187,0.23611753
1.0,1.0,26.0,160.0,India,72.0,2.0,72.0,0.2562756,0.50789607,0.23582841
1.0,1.0,26.0,161.0,India,72.0,2.0,72.0,0.25320247,0.51332784,0.23346974
1.0,1.0,26.0,162.0,India,73.0,2.0,73.0,0.25780123,0.5084644,0.23373438
1.0,1.0,26.0,163.0,India,73.0,2.0,73.0,0.25573668,0.5135087,0.23075467
1.0,1.0,27.0,164.0,India,73.0,2.0,73.0,0.3747939,0.38150877,0.24369733
1.0,1.0,27.0,165.0,India,74.0,2.0,74.0,0.36772573,0.39314437,0.23912986
1.0,1.0,27.0,166.0,India,74.0,2.0,74.0,0.36772573,0.39314437,0.23912986
1.0,1.0,27.0,167.0,India,75.0,2.0,75.0,0.3888302,0.35369816,0.25747162
1.0,1.0,27.0,168.0,India,75.0,2.0,75.0,0.38569778,0.3589048,0.2553974
1.0,1.0,27.0,169.0,India,75.0,2.0,75.0,0.38569778,0.3589048,0.2553974
1.0,1.0,28.0,170.0,India,75.0,2.0,75.0,0.35550618,0.39797547,0.2465183
1.0,1.0,28.0,171.0,India,75.0,2.0,75.0,0.35550618,0.39797547,0.2465183
1.0,1.0,28.0,172.0,India,75.0,2.0,75.0,0.35550618,0.39797547,0.2465183
1.0,1.0,28.0,173.0,India,75.0,2.0,75.0,0.35550618,0.39797547,0.2465183
1.0,1.0,28.0,174.0,India,75.0,2.0,75.0,0.35550618,0.39797547,0.2465183
1.0,1.0,28.0,175.0,India,75.0,2.0,75.0,0.35550618,0.39797547,0.2465183
1.0,1.0,29.0,176.0,India,75.0,2.0,75.0,0.3792952,0.36039189,0.26031286
1.0,1.0,29.0,177.0,India,75.0,2.0,75.0,0.37774748,0.3589213,0.26333126
1.0,1.0,29.0,178.0,India,75.0,2.0,75.0,0.37354568,0.36605218,0.26040214
1.0,1.0,29.0,179.0,India,75.0,2.0,75.0,0.37354568,0.36605218,0.26040214
1.0,1.0,29.0,180.0,India,75.0,2.0,75.0,0.37354568,0.36605218,0.26040214
1.0,1.0,29.0,181.0,India,75.0,2.0,75.0,0.37354568,0.36605218,0.26040214
1.0,1.0,30.0,182.0,India,77.0,2.0,77.0,0.3578694,0.41317618,0.22895443
1.0,1.0,30.0,183.0,India,77.0,2.0,77.0,0.3578694,0.41317618,0.22895443
1.0,1.0,30.0,184.0,India,81.0,2.0,81.0,0.34733975,0.40722346,0.24543676
1.0,1.0,30.0,185.0,India,81.0,2.0,81.0,0.34733975,0.40722346,0.24543676
1.0,1.0,30.0,186.0,India,81.0,2.0,81.0,0.34866694,0.40496615,0.24636696
1.0,1.0,30.0,187.0,India,85.0,2.0,85.0,0.34525296,0.39259407,0.262153
