innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_New Zealand_win,p_England_win,p_draw
1.0,1.0,37.0,226.0,New Zealand,157.0,2.0,157.0,0.62402284,0.15729257,0.21868457
1.0,1.0,37.0,227.0,New Zealand,157.0,2.0,157.0,0.62402284,0.15729257,0.21868457
1.0,1.0,37.0,228.0,New Zealand,157.0,2.0,157.0,0.62402284,0.15729257,0.21868457
1.0,1.0,37.0,229.0,New Zealand,157.0,2.0,157.0,0.62402284,0.15729257,0.21868457
1.0,1.0,37.0,230.0,New Zealand,158.0,2.0,158.0,0.6301073,0.16060148,0.20929128
1.0,1.0,37.0,231.0,New Zealand,158.0,2.0,158.0,0.6301073,0.16060148,0.20929128
1.0,1.0,38.0,232.0,New Zealand,158.0,2.0,158.0,0.6530281,0.12518857,0.22178334
1.0,1.0,38.0,233.0,New Zealand,158.0,2.0,158.0,0.65215224,0.12502067,0.22282709
1.0,1.0,38.0,234.0,New Zealand,158.0,2.0,158.0,0.65215224,0.12502067,0.22282709
1.0,1.0,38.0,235.0,New Zealand,158.0,2.0,158.0,0.64983803,0.12457702,0.22558495
1.0,1.0,38.0,236.0,New Zealand,158.0,2.0,158.0,0.64983803,0.12457702,0.22558495
1.0,1.0,38.0,237.0,New Zealand,161.0,2.0,161.0,0.6740584,0.10970126,0.21624036
1.0,1.0,39.0,238.0,New Zealand,161.0,3.0,161.0,0.6135701,0.19597939,0.19045052
1.0,1.0,39.0,239.0,New Zealand,162.0,3.0,162.0,0.6224911,0.19594729,0.18156165
1.0,1.0,39.0,240.0,New Zealand,162.0,3.0,162.0,0.6224911,0.19594729,0.18156165
1.0,1.0,39.0,241.0,New Zealand,162.0,3.0,162.0,0.6224911,0.19594729,0.18156165
1.0,1.0,39.0,242.0,New Zealand,162.0,3.0,162.0,0.6239472,0.19261144,0.18344133
1.0,1.0,39.0,243.0,New Zealand,162.0,3.0,162.0,0.6239472,0.19261144,0.18344133
1.0,1.0,40.0,244.0,New Zealand,163.0,3.0,163.0,0.65558946,0.1545034,0.18990715
1.0,1.0,40.0,245.0,New Zealand,163.0,3.0,163.0,0.65558946,0.1545034,0.18990715
1.0,1.0,40.0,246.0,New Zealand,163.0,3.0,163.0,0.65558946,0.1545034,0.18990715
1.0,1.0,40.0,247.0,New Zealand,163.0,3.0,163.0,0.65558946,0.1545034,0.18990715
1.0,1.0,40.0,248.0,New Zealand,165.0,3.0,165.0,0.65558946,0.1545034,0.18990715
1.0,1.0,40.0,249.0,New Zealand,165.0,3.0,165.0,0.65558946,0.1545034,0.18990715
1.0,1.0,41.0,250.0,New Zealand,169.0,3.0,169.0,0.6182167,0.18990108,0.19188222
1.0,1.0,41.0,251.0,New Zealand,169.0,3.0,169.0,0.6182167,0.18990108,0.19188222
1.0,1.0,41.0,252.0,New Zealand,169.0,3.0,169.0,0.6182167,0.18990108,0.19188222
1.0,1.0,41.0,253.0,New Zealand,169.0,3.0,169.0,0.6182167,0.18990108,0.19188222
1.0,1.0,41.0,254.0,New Zealand,169.0,3.0,169.0,0.6182167,0.18990108,0.19188222
1.0,1.0,41.0,255.0,New Zealand,169.0,3.0,169.0,0.6182167,0.18990108,0.19188222
1.0,1.0,42.0,256.0,New Zealand,169.0,4.0,169.0,0.55595976,0.2863693,0.15767094
1.0,1.0,42.0,257.0,New Zealand,169.0,4.0,169.0,0.55595976,0.2863693,0.15767094
1.0,1.0,42.0,258.0,New Zealand,169.0,4.0,169.0,0.55595976,0.2863693,0.15767094
1.0,1.0,42.0,259.0,New Zealand,169.0,4.0,169.0,0.55595976,0.2863693,0.15767094
1.0,1.0,42.0,260.0,New Zealand,169.0,4.0,169.0,0.5532829,0.28499046,0.16172668
1.0,1.0,42.0,261.0,New Zealand,169.0,4.0,169.0,0.5532829,0.28499046,0.16172668
1.0,1.0,42.0,262.0,New Zealand,170.0,4.0,170.0,0.5532829,0.28499046,0.16172668
1.0,1.0,43.0,263.0,New Zealand,170.0,4.0,170.0,0.47941253,0.3567489,0.16383852
1.0,1.0,43.0,264.0,New Zealand,170.0,4.0,170.0,0.47941253,0.3567489,0.16383852
1.0,1.0,43.0,265.0,New Zealand,170.0,4.0,170.0,0.47941253,0.3567489,0.16383852
