innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_Australia_win,p_India_win,p_draw
1.0,1.0,14.0,87.0,Australia,39.0,2.0,39.0,0.5968221,0.27400863,0.12916929
1.0,1.0,14.0,88.0,Australia,39.0,2.0,39.0,0.5968221,0.27400863,0.12916929
1.0,1.0,14.0,89.0,Australia,39.0,2.0,39.0,0.5968221,0.27400863,0.12916929
1.0,1.0,14.0,90.0,Australia,39.0,2.0,39.0,0.5968221,0.27400863,0.12916929
1.0,1.0,14.0,91.0,Australia,39.0,2.0,39.0,0.5968221,0.27400863,0.12916929
1.0,1.0,14.0,92.0,Australia,39.0,2.0,39.0,0.59580296,0.27079692,0.13340013
1.0,1.0,15.0,93.0,Australia,39.0,2.0,39.0,0.43322942,0.3411886,0.22558194
1.0,1.0,15.0,94.0,Australia,39.0,2.0,39.0,0.43322942,0.3411886,0.22558194
1.0,1.0,15.0,95.0,Australia,39.0,2.0,39.0,0.43646148,0.36054063,0.20299791
1.0,1.0,15.0,96.0,Australia,39.0,2.0,39.0,0.43646148,0.36054063,0.20299791
1.0,1.0,15.0,97.0,Australia,39.0,2.0,39.0,0.43353194,0.36483267,0.20163538
1.0,1.0,15.0,98.0,Australia,39.0,2.0,39.0,0.43353194,0.36483267,0.20163538
1.0,1.0,16.0,99.0,Australia,39.0,2.0,39.0,0.5932403,0.28811628,0.11864338
1.0,1.0,16.0,100.0,Australia,39.0,2.0,39.0,0.5932403,0.28811628,0.11864338
1.0,1.0,16.0,101.0,Australia,39.0,2.0,39.0,0.5932403,0.28811628,0.11864338
1.0,1.0,16.0,102.0,Australia,39.0,2.0,39.0,0.5932403,0.28811628,0.11864338
1.0,1.0,16.0,103.0,Australia,39.0,2.0,39.0,0.5932403,0.28811628,0.11864338
1.0,1.0,16.0,104.0,Australia,39.0,2.0,39.0,0.5932403,0.28811628,0.11864338
1.0,1.0,17.0,105.0,Australia,39.0,2.0,39.0,0.43332618,0.36465952,0.20201434
1.0,1.0,17.0,106.0,Australia,40.0,2.0,40.0,0.43756133,0.36822355,0.19421515
1.0,1.0,17.0,107.0,Australia,41.0,2.0,41.0,0.4333289,0.3646618,0.20200934
1.0,1.0,17.0,108.0,Australia,41.0,2.0,41.0,0.4333289,0.3646618,0.20200934
1.0,1.0,17.0,109.0,Australia,43.0,2.0,43.0,0.43235874,0.3638454,0.20379587
1.0,1.0,17.0,110.0,Australia,43.0,2.0,43.0,0.43235874,0.3638454,0.20379587
1.0,1.0,18.0,111.0,Australia,47.0,2.0,47.0,0.5937914,0.2698827,0.13632588
1.0,1.0,18.0,112.0,Australia,47.0,2.0,47.0,0.59337336,0.26969266,0.136934
1.0,1.0,18.0,113.0,Australia,48.0,2.0,48.0,0.59061974,0.26844114,0.14093916
1.0,1.0,18.0,114.0,Australia,48.0,2.0,48.0,0.5893124,0.26784694,0.14284067
1.0,1.0,18.0,115.0,Australia,49.0,2.0,49.0,0.5939837,0.27070045,0.13531582
1.0,1.0,18.0,116.0,Australia,53.0,2.0,53.0,0.6052481,0.25949794,0.13525395
1.0,1.0,19.0,117.0,Australia,57.0,2.0,57.0,0.462678,0.31270102,0.22462104
1.0,1.0,19.0,118.0,Australia,57.0,2.0,57.0,0.462678,0.31270102,0.22462104
1.0,1.0,19.0,119.0,Australia,57.0,2.0,57.0,0.45984933,0.31078926,0.22936143
1.0,1.0,19.0,120.0,Australia,57.0,2.0,57.0,0.45984933,0.31078926,0.22936143
1.0,1.0,19.0,121.0,Australia,57.0,2.0,57.0,0.4556541,0.3131647,0.23118113
1.0,1.0,19.0,122.0,Australia,57.0,2.0,57.0,0.4556541,0.3131647,0.23118113
1.0,1.0,20.0,123.0,Australia,57.0,2.0,57.0,0.6078085,0.25686643,0.13532512
1.0,1.0,20.0,124.0,Australia,57.0,2.0,57.0,0.6078085,0.25686643,0.13532512
1.0,1.0,20.0,125.0,Australia,57.0,2.0,57.0,0.6078085,0.25686643,0.13532512
1.0,1.0,20.0,126.0,Australia,57.0,2.0,57.0,0.60499936,0.2603009,0.13469969
1.0,1.0,20.0,127.0,Australia,57.0,2.0,57.0,0.6025525,0.26393366,0.13351388
1.0,1.0,20.0,128.0,Australia,57.0,2.0,57.0,0.6025525,0.26393366,0.13351388
1.0,1.0,21.0,129.0,Australia,61.0,2.0,61.0,0.4129673,0.39479655,0.19223611
1.0,1.0,21.0,130.0,Australia,61.0,2.0,61.0,0.4129673,0.39479655,0.19223611
1.0,1.0,21.0,131.0,Australia,61.0,2.0,61.0,0.4146723,0.3936499,0.1916778
1.0,1.0,21.0,132.0,Australia,61.0,2.0,61.0,0.4146723,0.3936499,0.1916778
1.0,1.0,21.0,133.0,Australia,61.0,2.0,61.0,0.4137102,0.39273658,0.19355325
1.0,1.0,21.0,134.0,Australia,61.0,2.0,61.0,0.4137102,0.39273658,0.19355325
1.0,1.0,22.0,135.0,Australia,61.0,2.0,61.0,0.5114913,0.3104307,0.17807801
1.0,1.0,22.0,136.0,Australia,61.0,2.0,61.0,0.50906825,0.31454417,0.17638758
1.0,1.0,22.0,137.0,Australia,61.0,2.0,61.0,0.50906825,0.31454417,0.17638758
1.0,1.0,22.0,138.0,Australia,61.0,2.0,61.0,0.50906825,0.31454417,0.17638758
1.0,1.0,22.0,139.0,Australia,61.0,2.0,61.0,0.50906825,0.31454417,0.17638758
1.0,1.0,22.0,140.0,Australia,61.0,2.0,61.0,0.50906825,0.31454417,0.17638758
1.0,1.0,23.0,141.0,Australia,61.0,2.0,61.0,0.40823945,0.40167937,0.19008118
1.0,1.0,23.0,142.0,Australia,61.0,2.0,61.0,0.40823945,0.40167937,0.19008118
1.0,1.0,23.0,143.0,Australia,63.0,2.0,63.0,0.40823945,0.40167937,0.19008118
1.0,1.0,23.0,144.0,Australia,63.0,2.0,63.0,0.40823945,0.40167937,0.19008118
1.0,1.0,23.0,145.0,Australia,63.0,2.0,63.0,0.407226,0.40068218,0.19209185
1.0,1.0,23.0,146.0,Australia,63.0,2.0,63.0,0.407226,0.40068218,0.19209185
1.0,1.0,24.0,147.0,Australia,64.0,2.0,64.0,0.501971,0.31015894,0.18787003
