innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_England_win,p_Australia_win,p_draw
1.0,1.0,13.0,88.0,England,56.0,0.0,56.0,0.45604944,0.33499858,0.20895196
1.0,1.0,13.0,89.0,England,60.0,0.0,60.0,0.45604944,0.33499858,0.20895196
1.0,1.0,13.0,90.0,England,60.0,0.0,60.0,0.45604944,0.33499858,0.20895196
1.0,1.0,14.0,91.0,England,60.0,0.0,60.0,0.6292276,0.20677848,0.16399397
1.0,1.0,14.0,92.0,England,60.0,0.0,60.0,0.6292276,0.20677848,0.16399397
1.0,1.0,14.0,93.0,England,60.0,0.0,60.0,0.6292276,0.20677848,0.16399397
1.0,1.0,14.0,94.0,England,60.0,0.0,60.0,0.6278794,0.20633544,0.16578513
1.0,1.0,14.0,95.0,England,60.0,0.0,60.0,0.6278794,0.20633544,0.16578513
1.0,1.0,14.0,96.0,England,60.0,0.0,60.0,0.6278794,0.20633544,0.16578513
1.0,1.0,15.0,97.0,England,60.0,0.0,60.0,0.44884405,0.3377375,0.21341848
1.0,1.0,15.0,98.0,England,60.0,0.0,60.0,0.44884405,0.3377375,0.21341848
1.0,1.0,15.0,99.0,England,60.0,0.0,60.0,0.44884405,0.3377375,0.21341848
1.0,1.0,15.0,100.0,England,60.0,0.0,60.0,0.44884405,0.3377375,0.21341848
1.0,1.0,15.0,101.0,England,64.0,0.0,64.0,0.45410213,0.3299792,0.21591863
1.0,1.0,15.0,102.0,England,68.0,0.0,68.0,0.4576892,0.32468656,0.21762422
1.0,1.0,16.0,103.0,England,68.0,0.0,68.0,0.63538116,0.1968529,0.16776592
1.0,1.0,16.0,104.0,England,68.0,0.0,68.0,0.63538116,0.1968529,0.16776592
1.0,1.0,16.0,105.0,England,68.0,0.0,68.0,0.63538116,0.1968529,0.16776592
1.0,1.0,16.0,106.0,England,68.0,0.0,68.0,0.63538116,0.1968529,0.16776592
1.0,1.0,16.0,107.0,England,68.0,0.0,68.0,0.63538116,0.1968529,0.16776592
1.0,1.0,16.0,108.0,England,68.0,0.0,68.0,0.6340206,0.19643137,0.16954799
1.0,1.0,17.0,109.0,England,68.0,0.0,68.0,0.45641866,0.32378525,0.21979605
1.0,1.0,17.0,110.0,England,69.0,0.0,69.0,0.5178431,0.2557071,0.22644974
1.0,1.0,17.0,111.0,England,69.0,0.0,69.0,0.5178431,0.2557071,0.22644974
1.0,1.0,17.0,112.0,England,70.0,0.0,70.0,0.45641866,0.32378525,0.21979605
1.0,1.0,17.0,113.0,England,70.0,0.0,70.0,0.45641866,0.32378525,0.21979605
1.0,1.0,17.0,114.0,England,71.0,0.0,71.0,0.5178431,0.2557071,0.22644974
1.0,1.0,18.0,115.0,England,77.0,0.0,77.0,0.5624858,0.24738525,0.19012892
1.0,1.0,18.0,116.0,England,78.0,0.0,78.0,0.6430393,0.18052095,0.17643982
1.0,1.0,18.0,117.0,England,78.0,0.0,78.0,0.6430393,0.18052095,0.17643982
1.0,1.0,18.0,118.0,England,78.0,0.0,78.0,0.6430393,0.18052095,0.17643982
1.0,1.0,18.0,119.0,England,78.0,0.0,78.0,0.6430393,0.18052095,0.17643982
1.0,1.0,18.0,120.0,England,82.0,0.0,82.0,0.6430393,0.18052095,0.17643982
1.0,1.0,19.0,121.0,England,86.0,0.0,86.0,0.48042986,0.29041883,0.22915126
1.0,1.0,19.0,122.0,England,86.0,0.0,86.0,0.48042986,0.29041883,0.22915126
1.0,1.0,19.0,123.0,England,86.0,0.0,86.0,0.48042986,0.29041883,0.22915126
1.0,1.0,19.0,124.0,England,86.0,0.0,86.0,0.48042986,0.29041883,0.22915126
1.0,1.0,19.0,125.0,England,86.0,0.0,86.0,0.48042986,0.29041883,0.22915126
1.0,1.0,19.0,126.0,England,86.0,0.0,86.0,0.47996756,0.28552482,0.23450759
1.0,1.0,20.0,127.0,England,86.0,0.0,86.0,0.64770657,0.17457297,0.17772046
1.0,1.0,20.0,128.0,England,86.0,0.0,86.0,0.64770657,0.17457297,0.17772046
1.0,1.0,20.0,129.0,England,86.0,0.0,86.0,0.64770657,0.17457297,0.17772046
1.0,1.0,20.0,130.0,England,86.0,0.0,86.0,0.64770657,0.17457297,0.17772046
1.0,1.0,20.0,131.0,England,86.0,0.0,86.0,0.64770657,0.17457297,0.17772046
1.0,1.0,20.0,132.0,England,86.0,0.0,86.0,0.64770657,0.17457297,0.17772046
1.0,1.0,21.0,133.0,England,86.0,0.0,86.0,0.47996756,0.28552482,0.23450759
1.0,1.0,21.0,134.0,England,86.0,0.0,86.0,0.47996756,0.28552482,0.23450759
1.0,1.0,21.0,135.0,England,90.0,0.0,90.0,0.5015361,0.25341812,0.24504578
1.0,1.0,21.0,136.0,England,91.0,0.0,91.0,0.55090976,0.2019042,0.24718602
1.0,1.0,21.0,137.0,England,92.0,0.0,92.0,0.5015361,0.25341812,0.24504578
1.0,1.0,21.0,138.0,England,93.0,0.0,93.0,0.55090976,0.2019042,0.24718602
1.0,1.0,22.0,139.0,England,95.0,0.0,95.0,0.60784894,0.20188385,0.1902672
1.0,1.0,22.0,140.0,England,95.0,0.0,95.0,0.60209715,0.20484495,0.19305791
1.0,1.0,22.0,141.0,England,95.0,0.0,95.0,0.60209715,0.20484495,0.19305791
